country,memberOrganization
http://www.wikidata.org/entity/Q858,http://www.wikidata.org/entity/Q1065; http://www.wikidata.org/entity/Q7172; http://www.wikidata.org/entity/Q7809; http://www.wikidata.org/entity/Q7817; http://www.wikidata.org/entity/Q8475; http://www.wikidata.org/entity/Q17495; http://www.wikidata.org/entity/Q47543; http://www.wikidata.org/entity/Q162656; http://www.wikidata.org/entity/Q170424; http://www.wikidata.org/entity/Q191384; http://www.wikidata.org/entity/Q233611; http://www.wikidata.org/entity/Q376150; http://www.wikidata.org/entity/Q624307; http://www.wikidata.org/entity/Q656801; http://www.wikidata.org/entity/Q827525; http://www.wikidata.org/entity/Q842490; http://www.wikidata.org/entity/Q899770; http://www.wikidata.org/entity/Q1043527; http://www.wikidata.org/entity/Q1137381; http://www.wikidata.org/entity/Q4783148
http://www.wikidata.org/entity/Q863,http://www.wikidata.org/entity/Q1065; http://www.wikidata.org/entity/Q7779; http://www.wikidata.org/entity/Q7809; http://www.wikidata.org/entity/Q7817; http://www.wikidata.org/entity/Q8475; http://www.wikidata.org/entity/Q17495; http://www.wikidata.org/entity/Q47543; http://www.wikidata.org/entity/Q81299; http://www.wikidata.org/entity/Q162656; http://www.wikidata.org/entity/Q170424; http://www.wikidata.org/entity/Q188822; http://www.wikidata.org/entity/Q191384; http://www.wikidata.org/entity/Q318693; http://www.wikidata.org/entity/Q376150; http://www.wikidata.org/entity/Q485207; http://www.wikidata.org/entity/Q656801; http://www.wikidata.org/entity/Q827525; http://www.wikidata.org/entity/Q842490; http://www.wikidata.org/entity/Q1043527; http://www.wikidata.org/entity/Q1702783; http://www.wikidata.org/entity/Q2297670; http://www.wikidata.org/entity/Q5611262
http://www.wikidata.org/entity/Q865,http://www.wikidata.org/entity/Q1065; http://www.wikidata.org/entity/Q7825; http://www.wikidata.org/entity/Q37470; http://www.wikidata.org/entity/Q45177; http://www.wikidata.org/entity/Q170481; http://www.wikidata.org/entity/Q188822; http://www.wikidata.org/entity/Q190008; http://www.wikidata.org/entity/Q2565027; http://www.wikidata.org/entity/Q3153044; http://www.wikidata.org/entity/Q22032253
http://www.wikidata.org/entity/Q869,http://www.wikidata.org/entity/Q1065; http://www.wikidata.org/entity/Q7768; http://www.wikidata.org/entity/Q7809; http://www.wikidata.org/entity/Q7817; http://www.wikidata.org/entity/Q7825; http://www.wikidata.org/entity/Q8475; http://www.wikidata.org/entity/Q17495; http://www.wikidata.org/entity/Q170424; http://www.wikidata.org/entity/Q170481; http://www.wikidata.org/entity/Q188822; http://www.wikidata.org/entity/Q191384; http://www.wikidata.org/entity/Q233611; http://www.wikidata.org/entity/Q277252; http://www.wikidata.org/entity/Q376150; http://www.wikidata.org/entity/Q384535; http://www.wikidata.org/entity/Q656801; http://www.wikidata.org/entity/Q795985; http://www.wikidata.org/entity/Q827525; http://www.wikidata.org/entity/Q842490; http://www.wikidata.org/entity/Q1043527; http://www.wikidata.org/entity/Q5611262; http://www.wikidata.org/entity/Q7886981
http://www.wikidata.org/entity/Q874,http://www.wikidata.org/entity/Q1065; http://www.wikidata.org/entity/Q7779; http://www.wikidata.org/entity/Q7809; http://www.wikidata.org/entity/Q7817; http://www.wikidata.org/entity/Q8475; http://www.wikidata.org/entity/Q17495; http://www.wikidata.org/entity/Q47543; http://www.wikidata.org/entity/Q81299; http://www.wikidata.org/entity/Q170424; http://www.wikidata.org/entity/Q188822; http://www.wikidata.org/entity/Q191384; http://www.wikidata.org/entity/Q376150; http://www.wikidata.org/entity/Q656801; http://www.wikidata.org/entity/Q842490; http://www.wikidata.org/entity/Q899770; http://www.wikidata.org/entity/Q1043527
http://www.wikidata.org/entity/Q878,http://www.wikidata.org/entity/Q1065; http://www.wikidata.org/entity/Q7172; http://www.wikidata.org/entity/Q7795; http://www.wikidata.org/entity/Q7809; http://www.wikidata.org/entity/Q7817; http://www.wikidata.org/entity/Q7825; http://www.wikidata.org/entity/Q8475; http://www.wikidata.org/entity/Q17495; http://www.wikidata.org/entity/Q47543; http://www.wikidata.org/entity/Q162656; http://www.wikidata.org/entity/Q170424; http://www.wikidata.org/entity/Q191384; http://www.wikidata.org/entity/Q233611; http://www.wikidata.org/entity/Q340195; http://www.wikidata.org/entity/Q376150; http://www.wikidata.org/entity/Q624307; http://www.wikidata.org/entity/Q656801; http://www.wikidata.org/entity/Q827525; http://www.wikidata.org/entity/Q842490; http://www.wikidata.org/entity/Q899770; http://www.wikidata.org/entity/Q1043527; http://www.wikidata.org/entity/Q1137381; http://www.wikidata.org/entity/Q4783148; http://www.wikidata.org/entity/Q5611262
http://www.wikidata.org/entity/Q881,http://www.wikidata.org/entity/Q1065; http://www.wikidata.org/entity/Q7768; http://www.wikidata.org/entity/Q7809; http://www.wikidata.org/entity/Q7817; http://www.wikidata.org/entity/Q7825; http://www.wikidata.org/entity/Q8475; http://www.wikidata.org/entity/Q17495; http://www.wikidata.org/entity/Q134102; http://www.wikidata.org/entity/Q170424; http://www.wikidata.org/entity/Q170481; http://www.wikidata.org/entity/Q188822; http://www.wikidata.org/entity/Q191384; http://www.wikidata.org/entity/Q191582; http://www.wikidata.org/entity/Q233611; http://www.wikidata.org/entity/Q376150; http://www.wikidata.org/entity/Q656801; http://www.wikidata.org/entity/Q827525; http://www.wikidata.org/entity/Q842490; http://www.wikidata.org/entity/Q1043527; http://www.wikidata.org/entity/Q5611262; http://www.wikidata.org/entity/Q7886981
http://www.wikidata.org/entity/Q884,http://www.wikidata.org/entity/Q1065; http://www.wikidata.org/entity/Q7809; http://www.wikidata.org/entity/Q7817; http://www.wikidata.org/entity/Q7825; http://www.wikidata.org/entity/Q8475; http://www.wikidata.org/entity/Q17495; http://www.wikidata.org/entity/Q19771; http://www.wikidata.org/entity/Q41550; http://www.wikidata.org/entity/Q45177; http://www.wikidata.org/entity/Q162656; http://www.wikidata.org/entity/Q170424; http://www.wikidata.org/entity/Q170481; http://www.wikidata.org/entity/Q188822; http://www.wikidata.org/entity/Q191384; http://www.wikidata.org/entity/Q233611; http://www.wikidata.org/entity/Q340195; http://www.wikidata.org/entity/Q384535; http://www.wikidata.org/entity/Q656801; http://www.wikidata.org/entity/Q782942; http://www.wikidata.org/entity/Q826700; http://www.wikidata.org/entity/Q827525; http://www.wikidata.org/entity/Q842490; http://www.wikidata.org/entity/Q899770; http://www.wikidata.org/entity/Q1043527; http://www.wikidata.org/entity/Q1072120; http://www.wikidata.org/entity/Q1480793; http://www.wikidata.org/entity/Q5611262; http://www.wikidata.org/entity/Q7886981
http://www.wikidata.org/entity/Q889,http://www.wikidata.org/entity/Q1065; http://www.wikidata.org/entity/Q7809; http://www.wikidata.org/entity/Q7817; http://www.wikidata.org/entity/Q8475; http://www.wikidata.org/entity/Q17495; http://www.wikidata.org/entity/Q47543; http://www.wikidata.org/entity/Q170424; http://www.wikidata.org/entity/Q188822; http://www.wikidata.org/entity/Q191384; http://www.wikidata.org/entity/Q376150; http://www.wikidata.org/entity/Q392739; http://www.wikidata.org/entity/Q656801; http://www.wikidata.org/entity/Q827525; http://www.wikidata.org/entity/Q842490; http://www.wikidata.org/entity/Q899770; http://www.wikidata.org/entity/Q1043527; http://www.wikidata.org/entity/Q1620324
http://www.wikidata.org/entity/Q902,http://www.wikidata.org/entity/Q1065; http://www.wikidata.org/entity/Q7785; http://www.wikidata.org/entity/Q7809; http://www.wikidata.org/entity/Q7817; http://www.wikidata.org/entity/Q7825; http://www.wikidata.org/entity/Q8475; http://www.wikidata.org/entity/Q17495; http://www.wikidata.org/entity/Q47543; http://www.wikidata.org/entity/Q145700; http://www.wikidata.org/entity/Q170424; http://www.wikidata.org/entity/Q188822; http://www.wikidata.org/entity/Q191384; http://www.wikidata.org/entity/Q233611; http://www.wikidata.org/entity/Q376150; http://www.wikidata.org/entity/Q384535; http://www.wikidata.org/entity/Q656801; http://www.wikidata.org/entity/Q795985; http://www.wikidata.org/entity/Q827525; http://www.wikidata.org/entity/Q842490; http://www.wikidata.org/entity/Q899770; http://www.wikidata.org/entity/Q1043527; http://www.wikidata.org/entity/Q5611262; http://www.wikidata.org/entity/Q7886981
